s1,0
s2,0
s3,0
s4,0
s5,0
s6,0
s7,0
s8,0
s9,0
s10,0
s11,0
s12,0
s13,0
s14,0
s15,0
s16,0
s17,0
s18,0
s19,0
s20,0
s21,0
s22,0
s23,0
s24,0
s25,0
s26,0
s27,0
s28,0
s29,0
s30,0
s31,0
s32,0
s33,0
s34,0
s35,0
s36,0
s37,0
s38,0
s39,0
s40,0
s41,0
s42,0
s43,0
s44,0
s45,0
s46,0
s47,0
s48,0
s49,0
s50,0
s51,0
s52,0
s53,0
s54,0
s55,0
s56,0
s57,0
s58,0
s59,0
s60,0
s61,0
s62,0
s63,0
s64,0
s65,0
s66,0
s67,0
s68,0
s69,0
s70,0
s71,0
s72,0
s73,0
s74,0
s75,0
s76,0
s77,0
s78,0
s79,0
s80,0
s81,0
s82,0
s83,0
s84,0
s85,0
s86,0
s87,0
s88,0
s89,0
s90,0
s91,0
s92,0
s93,0
s94,0
s95,0
s96,0
s97,0
s98,0
s99,0
s100,0
s101,0
s102,0
s103,0
s104,0
s105,0
s106,0
s107,0
s108,0
s109,0
s110,0
s111,0
s112,0
s113,0
s114,0
s115,0
s116,0
s117,0
s118,0
s119,0
s120,0
s121,0
s122,0
s123,0
s124,0
s125,0
s126,0
s127,0
s128,0
s129,0
s130,0
s131,0
s132,0
s133,0
s134,0
s135,0
s136,0
s137,0
s138,0
s139,0
s140,0
s141,0
s142,0
s143,0
s144,0
s145,0
s146,0
s147,0
s148,0
s149,0
s150,0
s151,0
s152,0
s153,0
s154,0
s155,0
s156,0
s157,0
s158,0
s159,0
s160,0
s161,0
s162,0
s163,0
s164,0
s165,0
s166,0
s167,0
s168,0
s169,0
s170,0
s171,0
s172,0
s173,0
s174,0
s175,0
s176,0
s177,0
s178,0
s179,0
s180,0
s181,0
s182,0
s183,0
s184,0
s185,0
s186,0
s187,0
s188,0
s189,0
s190,0
s191,0
s192,0
s193,0
s194,0
s195,0
s196,0
s197,0
s198,0
s199,0
s200,0
